tau,CFC11,CFC12,CFC113,SF6,He4_ter,H3_tu
25136,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25135,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25134,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25133,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25132,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25131,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25130,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25129,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25128,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25127,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25126,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25125,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25124,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25123,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25122,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25121,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25120,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25119,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25118,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25117,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25116,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25115,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25114,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25113,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25112,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25111,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25110,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25109,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25108,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25107,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25106,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25105,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25104,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25103,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
